番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,国立,長崎大学,うち18歳以下,78,59,137,24,14,38,31%,24%,78,49,127,25,15,40,32%,31%,73,37,110,20,9,29,27%,24%,97,59,156,15,13,28,15%,22%,105,72,177,31,16,47,30%,22%,78,43,121,25,20,45,32%,47%
37,国立,長崎大学,うち19歳,89,33,122,26,11,37,29%,33%,79,47,126,24,12,36,30%,26%,78,38,116,43,12,55,55%,32%,76,50,126,34,15,49,45%,30%,85,27,112,23,8,31,27%,30%,73,40,113,28,17,45,38%,43%
37,国立,長崎大学,うち20歳,47,20,67,14,8,22,30%,40%,32,9,41,9,5,14,28%,56%,38,6,44,11,2,13,29%,33%,38,17,55,19,1,20,50%,6%,40,10,50,12,3,15,30%,30%,24,7,31,11,1,12,46%,14%
37,国立,長崎大学,うち21歳,20,14,34,4,4,8,20%,29%,26,11,37,7,6,13,27%,55%,16,10,26,6,3,9,38%,30%,25,2,27,6,0,6,24%,0%,18,5,23,9,3,12,50%,60%,18,2,20,5,2,7,28%,100%
37,国立,長崎大学,うち22歳以上,70,10,80,15,2,17,21%,20%,71,18,89,19,2,21,27%,11%,67,16,83,9,3,12,13%,19%,75,12,87,12,2,14,16%,17%,69,21,90,11,2,13,16%,10%,44,16,60,8,1,9,18%,6%
38,国立,熊本大学,合計,251,128,379,80,36,116,32%,28%,344,216,560,76,40,116,22%,19%,232,141,373,77,40,117,33%,28%,415,247,662,84,32,116,20%,13%,341,170,511,79,37,116,23%,22%,504,240,744,84,32,116,17%,13%
38,国立,熊本大学,うち18歳以下,85,62,147,34,22,56,40%,35%,90,75,165,18,14,32,20%,19%,53,58,111,20,17,37,38%,29%,115,94,209,21,12,33,18%,13%,86,58,144,24,15,39,28%,26%,93,75,168,18,16,34,19%,21%
38,国立,熊本大学,うち19歳,40,24,64,9,6,15,23%,25%,83,52,135,26,10,36,31%,19%,54,26,80,20,11,31,37%,42%,82,53,135,19,10,29,23%,19%,71,24,95,21,7,28,30%,29%,89,57,146,29,11,40,33%,19%
38,国立,熊本大学,うち20歳,41,9,50,15,2,17,37%,22%,38,28,66,12,8,20,32%,29%,34,19,53,10,5,15,29%,26%,73,22,95,22,3,25,30%,14%,31,23,54,9,8,17,29%,35%,41,15,56,7,0,7,17%,0%
38,国立,熊本大学,うち21歳,21,6,27,7,2,9,33%,33%,33,12,45,7,3,10,21%,25%,20,6,26,7,1,8,35%,17%,24,8,32,5,0,5,21%,0%,26,14,40,5,2,7,19%,14%,27,19,46,4,2,6,15%,11%
38,国立,熊本大学,うち22歳以上,64,27,91,15,4,19,23%,15%,100,49,149,13,5,18,13%,10%,71,32,103,20,6,26,28%,19%,121,70,191,17,7,24,14%,10%,127,51,178,20,5,25,16%,10%,254,74,328,26,3,29,10%,4%
39,国立,大分大学,合計,154,84,238,61,39,100,40%,46%,154,89,243,57,46,103,37%,52%,162,88,250,70,33,103,43%,38%,148,95,243,61,42,103,41%,44%,171,79,250,69,32,101,40%,41%,150,91,241,65,37,102,43%,41%
39,国立,大分大学,うち18歳以下,37,19,56,23,11,34,62%,58%,43,18,61,29,14,43,67%,78%,22,19,41,13,9,22,59%,47%,39,24,63,17,14,31,44%,58%,34,27,61,12,9,21,35%,33%,55,33,88,22,12,34,40%,36%
39,国立,大分大学,うち19歳,48,31,79,16,14,30,33%,45%,56,39,95,18,19,37,32%,49%,59,36,95,25,14,39,42%,39%,51,30,81,20,13,33,39%,43%,69,27,96,29,15,44,42%,56%,39,36,75,21,13,34,54%,36%
39,国立,大分大学,うち20歳,32,25,57,13,10,23,41%,40%,33,20,53,9,8,17,27%,40%,42,25,67,19,7,26,45%,28%,29,27,56,16,9,25,55%,33%,34,13,47,16,5,21,47%,38%,23,15,38,8,8,16,35%,53%
39,国立,大分大学,うち21歳,13,3,16,3,2,5,23%,67%,6,3,9,1,2,3,17%,67%,11,2,13,2,1,3,18%,50%,12,5,17,5,2,7,42%,40%,10,2,12,4,0,4,40%,0%,10,2,12,6,2,8,60%,100%
39,国立,大分大学,うち22歳以上,24,6,30,6,2,8,25%,33%,16,9,25,0,3,3,0%,33%,28,6,34,11,2,13,39%,33%,17,9,26,3,4,7,18%,44%,24,10,34,8,3,11,33%,30%,23,5,28,8,2,10,35%,40%
40,国立,宮崎大学,合計,247,174,421,70,43,113,28%,25%,258,171,429,64,47,111,25%,27%,264,204,468,70,43,113,27%,21%,259,169,428,72,42,114,28%,25%,289,168,457,76,37,113,26%,22%,278,183,461,66,45,111,24%,25%
40,国立,宮崎大学,うち18歳以下,100,89,189,33,15,48,33%,17%,86,91,177,24,20,44,28%,22%,96,100,196,27,11,38,28%,11%,94,75,169,31,13,44,33%,17%,95,80,175,23,14,37,24%,18%,108,79,187,20,22,42,19%,28%
40,国立,宮崎大学,うち19歳,66,50,116,21,19,40,32%,38%,63,52,115,22,19,41,35%,37%,55,53,108,19,17,36,35%,32%,66,46,112,21,17,38,32%,37%,72,38,110,24,10,34,33%,26%,69,55,124,20,12,32,29%,22%
40,国立,宮崎大学,うち20歳,24,20,44,9,3,12,38%,15%,41,15,56,9,5,14,22%,33%,27,20,47,10,4,14,37%,20%,30,17,47,12,5,17,40%,29%,35,23,58,10,7,17,29%,30%,40,25,65,10,7,17,25%,28%
40,国立,宮崎大学,うち21歳,17,10,27,1,5,6,6%,50%,14,5,19,3,2,5,21%,40%,20,8,28,4,2,6,20%,25%,15,13,28,0,5,5,0%,38%,18,7,25,5,2,7,28%,29%,21,7,28,6,1,7,29%,14%
40,国立,宮崎大学,うち22歳以上,40,5,45,6,1,7,15%,20%,54,8,62,6,1,7,11%,13%,66,23,89,10,9,19,15%,39%,54,18,72,8,2,10,15%,11%,69,20,89,14,4,18,20%,20%,40,17,57,10,3,13,25%,18%
41,国立,鹿児島大学,合計,242,140,382,71,40,111,29%,29%,241,111,352,73,36,109,30%,32%,277,141,418,87,23,110,31%,16%,282,131,413,73,35,108,26%,27%,663,363,"1,026",66,42,108,10%,12%,621,307,928,65,42,107,10%,14%
41,国立,鹿児島大学,うち18歳以下,90,62,152,25,18,43,28%,29%,92,52,144,27,12,39,29%,23%,76,65,141,23,11,34,30%,17%,116,55,171,28,11,39,24%,20%,293,189,482,25,16,41,9%,8%,278,162,440,23,19,42,8%,12%
41,国立,鹿児島大学,うち19歳,76,47,123,24,14,38,32%,30%,60,32,92,23,18,41,38%,56%,87,46,133,30,9,39,34%,20%,79,47,126,21,16,37,27%,34%,197,81,278,27,15,42,14%,19%,170,85,255,22,12,34,13%,14%
41,国立,鹿児島大学,うち20歳,34,16,50,11,4,15,32%,25%,34,13,47,15,4,19,44%,31%,61,20,81,22,2,24,36%,10%,39,14,53,18,4,22,46%,29%,70,39,109,5,4,9,7%,10%,77,22,99,12,8,20,16%,36%
41,国立,鹿児島大学,うち21歳,14,6,20,7,2,9,50%,33%,14,6,20,4,1,5,29%,17%,16,6,22,2,0,2,13%,0%,17,10,27,2,4,6,12%,40%,34,19,53,5,2,7,15%,11%,31,12,43,4,2,6,13%,17%
41,国立,鹿児島大学,うち22歳以上,28,9,37,4,2,6,14%,22%,41,8,49,4,1,5,10%,13%,37,4,41,10,1,11,27%,25%,31,5,36,4,0,4,13%,0%,69,35,104,4,5,9,6%,14%,65,26,91,4,1,5,6%,4%
42,国立,琉球大学,合計,301,204,505,66,48,114,22%,24%,278,201,479,62,51,113,22%,25%,330,182,512,74,41,115,22%,23%,284,163,447,72,42,114,25%,26%,315,166,481,73,34,107,23%,20%,314,134,448,69,41,110,22%,31%
42,国立,琉球大学,うち18歳以下,94,83,177,25,23,48,27%,28%,88,78,166,27,19,46,31%,24%,85,63,148,18,20,38,21%,32%,80,61,141,24,20,44,30%,33%,52,53,105,14,14,28,27%,26%,67,41,108,19,12,31,28%,29%
42,国立,琉球大学,うち19歳,94,51,145,26,11,37,28%,22%,65,55,120,18,17,35,28%,31%,95,56,151,33,10,43,35%,18%,54,41,95,14,15,29,26%,37%,90,38,128,20,9,29,22%,24%,78,42,120,20,16,36,26%,38%
42,国立,琉球大学,うち20歳,34,29,63,5,8,13,15%,28%,35,30,65,7,11,18,20%,37%,39,18,57,8,7,15,21%,39%,61,18,79,22,3,25,36%,17%,47,33,80,15,9,24,32%,27%,46,21,67,5,7,12,11%,33%
42,国立,琉球大学,うち21歳,20,7,27,2,1,3,10%,14%,21,10,31,3,2,5,14%,20%,25,16,41,4,2,6,16%,13%,22,12,34,2,3,5,9%,25%,35,18,53,10,2,12,29%,11%,31,11,42,8,2,10,26%,18%
42,国立,琉球大学,うち22歳以上,59,34,93,8,5,13,14%,15%,69,28,97,7,2,9,10%,7%,86,29,115,11,2,13,13%,7%,67,31,98,10,1,11,15%,3%,91,24,115,14,0,14,15%,0%,92,19,111,17,4,21,18%,21%
43,公立,札幌医科大学,合計,262,130,392,73,38,111,28%,29%,273,115,388,76,35,111,28%,30%,199,97,296,75,36,111,38%,37%,261,148,409,74,38,112,28%,26%,294,132,426,75,36,111,26%,27%,284,129,413,82,33,115,29%,26%
43,公立,札幌医科大学,うち18歳以下,95,67,162,32,24,56,34%,36%,105,66,171,34,27,61,32%,41%,72,45,117,27,20,47,38%,44%,96,72,168,33,22,55,34%,31%,100,50,150,30,17,47,30%,34%,86,70,156,27,18,45,31%,26%
43,公立,札幌医科大学,うち19歳,70,29,99,23,6,29,33%,21%,60,21,81,15,3,18,25%,14%,38,23,61,19,12,31,50%,52%,77,33,110,19,10,29,25%,30%,85,42,127,27,11,38,32%,26%,72,29,101,21,5,26,29%,17%
43,公立,札幌医科大学,うち20歳,39,9,48,11,2,13,28%,22%,35,10,45,10,1,11,29%,10%,32,7,39,14,0,14,44%,0%,37,22,59,10,3,13,27%,14%,44,14,58,10,2,12,23%,14%,53,6,59,10,3,13,19%,50%
43,公立,札幌医科大学,うち21歳,14,6,20,0,4,4,0%,67%,20,6,26,7,3,10,35%,50%,13,6,19,5,0,5,38%,0%,16,7,23,4,1,5,25%,14%,26,14,40,2,4,6,8%,29%,26,5,31,5,3,8,19%,60%
43,公立,札幌医科大学,うち22歳以上,44,19,63,7,2,9,16%,11%,53,12,65,10,1,11,19%,8%,44,16,60,10,4,14,23%,25%,35,14,49,8,2,10,23%,14%,39,12,51,6,2,8,15%,17%,47,19,66,19,4,23,40%,21%
44,公立,福島県立医科大学,合計,288,158,446,90,47,137,31%,30%,333,171,504,89,42,131,27%,25%,290,183,473,84,50,134,29%,27%,326,148,474,105,31,136,32%,21%,333,153,486,88,45,133,26%,29%,325,157,482,96,40,136,30%,25%
44,公立,福島県立医科大学,うち18歳以下,117,67,184,41,20,61,35%,30%,111,66,177,40,13,53,36%,20%,94,76,170,24,25,49,26%,33%,99,58,157,36,13,49,36%,22%,96,66,162,29,23,52,30%,35%,135,78,213,47,18,65,35%,23%
44,公立,福島県立医科大学,うち19歳,85,54,139,34,16,50,40%,30%,123,61,184,31,15,46,25%,25%,107,67,174,36,17,53,34%,25%,107,54,161,40,9,49,37%,17%,124,58,182,39,19,58,31%,33%,99,51,150,34,16,50,34%,31%
44,公立,福島県立医科大学,うち20歳,35,17,52,9,7,16,26%,41%,54,28,82,11,8,19,20%,29%,43,24,67,15,5,20,35%,21%,61,16,77,18,6,24,30%,38%,57,12,69,9,2,11,16%,17%,41,14,55,5,3,8,12%,21%
44,公立,福島県立医科大学,うち21歳,15,10,25,2,3,5,13%,30%,20,11,31,3,5,8,15%,45%,15,4,19,4,1,5,27%,25%,28,8,36,5,1,6,18%,13%,16,12,28,5,1,6,31%,8%,14,2,16,3,0,3,21%,0%
44,公立,福島県立医科大学,うち22歳以上,36,10,46,4,1,5,11%,10%,25,5,30,4,1,5,16%,20%,31,12,43,5,2,7,16%,17%,31,12,43,6,2,8,19%,17%,40,5,45,6,0,6,15%,0%,36,12,48,7,3,10,19%,25%
45,公立,横浜市立大学,合計,170,92,262,68,29,97,40%,32%,147,103,250,60,33,93,41%,32%,151,99,250,59,33,92,39%,33%,164,93,257,64,30,94,39%,32%,149,110,259,57,36,93,38%,33%,175,107,282,63,33,96,36%,31%
45,公立,横浜市立大学,うち18歳以下,79,58,137,41,20,61,52%,34%,73,60,133,33,21,54,45%,35%,69,51,120,29,16,45,42%,31%,79,46,125,31,15,46,39%,33%,59,57,116,30,21,51,51%,37%,60,54,114,22,18,40,37%,33%
45,公立,横浜市立大学,うち19歳,38,21,59,15,6,21,39%,29%,31,25,56,12,10,22,39%,40%,36,26,62,16,10,26,44%,38%,34,35,69,17,12,29,50%,34%,35,38,73,8,12,20,23%,32%,60,33,93,27,10,37,45%,30%
45,公立,横浜市立大学,うち20歳,13,3,16,4,0,4,31%,0%,11,10,21,2,1,3,18%,10%,13,9,22,3,4,7,23%,44%,20,4,24,6,2,8,30%,50%,19,7,26,9,1,10,47%,14%,15,7,22,7,2,9,47%,29%
45,公立,横浜市立大学,うち21歳,10,4,14,1,3,4,10%,75%,4,1,5,1,1,2,25%,100%,6,2,8,3,0,3,50%,0%,9,1,10,1,0,1,11%,0%,5,1,6,1,1,2,20%,100%,14,4,18,3,1,4,21%,25%
45,公立,横浜市立大学,うち22歳以上,30,6,36,7,0,7,23%,0%,28,7,35,12,0,12,43%,0%,27,11,38,8,3,11,30%,27%,22,7,29,9,1,10,41%,14%,31,7,38,9,1,10,29%,14%,26,9,35,4,2,6,15%,22%
46,公立,名古屋市立大学,合計,385,209,594,69,30,99,18%,14%,326,202,528,63,35,98,19%,17%,382,227,609,70,28,98,18%,12%,297,163,460,70,28,98,24%,17%,337,144,481,65,31,96,19%,22%,299,157,456,66,29,95,22%,18%
46,公立,名古屋市立大学,うち18歳以下,191,126,317,30,16,46,16%,13%,154,106,260,19,15,34,12%,14%,193,124,317,32,9,41,17%,7%,134,101,235,27,14,41,20%,14%,156,82,238,27,14,41,17%,17%,146,99,245,26,13,39,18%,13%
46,公立,名古屋市立大学,うち19歳,86,39,125,23,9,32,27%,23%,75,59,134,21,17,38,28%,29%,98,72,170,25,16,41,26%,22%,66,33,99,26,10,36,39%,30%,89,36,125,28,15,43,31%,42%,71,29,100,26,11,37,37%,38%
46,公立,名古屋市立大学,うち20歳,30,14,44,8,3,11,27%,21%,19,16,35,9,3,12,47%,19%,29,11,40,6,3,9,21%,27%,27,7,34,6,2,8,22%,29%,23,9,32,5,1,6,22%,11%,24,8,32,8,2,10,33%,25%
46,公立,名古屋市立大学,うち21歳,17,10,27,2,1,3,12%,10%,10,3,13,2,0,2,20%,0%,13,7,20,3,0,3,23%,0%,18,6,24,4,1,5,22%,17%,17,5,22,2,1,3,12%,20%,12,3,15,3,1,4,25%,33%
46,公立,名古屋市立大学,うち22歳以上,61,20,81,6,1,7,10%,5%,68,18,86,12,0,12,18%,0%,49,13,62,4,0,4,8%,0%,52,16,68,7,1,8,13%,6%,52,12,64,3,0,3,6%,0%,46,18,64,3,2,5,7%,11%
47,公立,京都府立医科大学,合計,192,99,291,79,28,107,41%,28%,203,110,313,74,33,107,36%,30%,229,102,331,79,28,107,34%,27%,233,113,346,72,35,107,31%,31%,279,118,397,81,27,108,29%,23%,268,125,393,77,31,108,29%,25%
47,公立,京都府立医科大学,うち18歳以下,91,46,137,37,12,49,41%,26%,113,59,172,38,16,54,34%,27%,104,59,163,30,19,49,29%,32%,108,62,170,27,17,44,25%,27%,107,62,169,30,16,46,28%,26%,117,66,183,33,14,47,28%,21%
47,公立,京都府立医科大学,うち19歳,54,31,85,31,10,41,57%,32%,47,30,77,28,13,41,60%,43%,62,28,90,37,7,44,60%,25%,63,29,92,30,13,43,48%,45%,82,27,109,34,7,41,41%,26%,72,32,104,29,15,44,40%,47%
47,公立,京都府立医科大学,うち20歳,10,8,18,5,2,7,50%,25%,19,8,27,4,4,8,21%,50%,21,6,27,7,1,8,33%,17%,21,6,27,7,3,10,33%,50%,32,10,42,10,3,13,31%,30%,23,10,33,7,1,8,30%,10%
47,公立,京都府立医科大学,うち21歳,9,1,10,2,1,3,22%,100%,8,5,13,1,0,1,13%,0%,11,4,15,1,1,2,9%,25%,11,6,17,2,0,2,18%,0%,14,5,19,2,1,3,14%,20%,14,2,16,2,0,2,14%,0%
47,公立,京都府立医科大学,うち22歳以上,28,13,41,4,3,7,14%,23%,16,8,24,3,0,3,19%,0%,31,5,36,4,0,4,13%,0%,30,10,40,6,2,8,20%,20%,44,14,58,5,0,5,11%,0%,42,15,57,6,1,7,14%,7%
48,公立,大阪市立大学,合計,239,90,329,76,20,96,32%,22%,207,111,318,70,25,95,34%,23%,185,74,259,80,16,96,43%,22%,201,79,280,70,25,95,35%,32%,219,92,311,65,27,92,30%,29%,276,112,388,72,21,93,26%,19%
48,公立,大阪市立大学,うち18歳以下,119,42,161,40,10,50,34%,24%,111,61,172,31,15,46,28%,25%,93,45,138,32,7,39,34%,16%,100,47,147,25,11,36,25%,23%,100,45,145,21,11,32,21%,24%,140,75,215,30,9,39,21%,12%
48,公立,大阪市立大学,うち19歳,74,32,106,23,9,32,31%,28%,48,35,83,25,8,33,52%,23%,52,18,70,31,7,38,60%,39%,58,21,79,34,10,44,59%,48%,68,29,97,24,9,33,35%,31%,72,22,94,32,9,41,44%,41%
48,公立,大阪市立大学,うち20歳,20,8,28,7,1,8,35%,13%,20,11,31,10,2,12,50%,18%,19,5,24,13,2,15,68%,40%,22,5,27,9,4,13,41%,80%,16,7,23,9,6,15,56%,86%,29,7,36,7,2,9,24%,29%
48,公立,大阪市立大学,うち21歳,7,4,11,3,0,3,43%,0%,10,0,10,2,0,2,20%,-,4,1,5,1,0,1,25%,0%,3,1,4,0,0,0,0%,0%,12,3,15,4,0,4,33%,0%,9,1,10,2,0,2,22%,0%
48,公立,大阪市立大学,うち22歳以上,19,4,23,3,0,3,16%,0%,18,4,22,2,0,2,11%,0%,17,5,22,3,0,3,18%,0%,18,5,23,2,0,2,11%,0%,23,8,31,7,1,8,30%,13%,26,7,33,1,1,2,4%,14%
49,公立,奈良県立医科大学,合計,562,216,778,91,28,119,16%,13%,599,276,875,91,31,122,15%,11%,570,283,853,78,43,121,14%,15%,735,299,"1,034",94,22,116,13%,7%,648,290,938,89,28,117,14%,10%,688,271,959,90,29,119,13%,11%
49,公立,奈良県立医科大学,うち18歳以下,227,100,327,40,12,52,18%,12%,222,116,338,38,13,51,17%,11%,215,149,364,34,25,59,16%,17%,264,128,392,33,7,40,13%,5%,228,112,340,38,12,50,17%,11%,253,139,392,34,13,47,13%,9%
49,公立,奈良県立医科大学,うち19歳,157,58,215,29,10,39,18%,17%,180,87,267,29,14,43,16%,16%,144,82,226,30,14,44,21%,17%,207,94,301,36,8,44,17%,9%,180,93,273,30,12,42,17%,13%,183,61,244,35,10,45,19%,16%
49,公立,奈良県立医科大学,うち20歳,83,35,118,11,4,15,13%,11%,95,34,129,17,3,20,18%,9%,91,27,118,5,3,8,5%,11%,119,54,173,18,7,25,15%,13%,91,51,142,11,3,14,12%,6%,114,35,149,16,4,20,14%,11%
49,公立,奈良県立医科大学,うち21歳,19,5,24,2,0,2,11%,0%,25,8,33,3,0,3,12%,0%,20,6,26,1,0,1,5%,0%,23,6,29,1,0,1,4%,0%,27,7,34,3,0,3,11%,0%,34,9,43,1,1,2,3%,11%
49,公立,奈良県立医科大学,うち22歳以上,76,18,94,9,2,11,12%,11%,77,31,108,4,1,5,5%,3%,100,19,119,8,1,9,8%,5%,122,17,139,6,0,6,5%,0%,122,27,149,7,1,8,6%,4%,104,27,131,4,1,5,4%,4%
50,公立,和歌山県立医科大学,合計,152,73,225,68,33,101,45%,45%,173,90,263,61,40,101,35%,44%,173,85,258,71,30,101,41%,35%,166,100,266,55,46,101,33%,46%,170,101,271,73,28,101,43%,28%,162,93,255,66,35,101,41%,38%
50,公立,和歌山県立医科大学,うち18歳以下,59,32,91,29,15,44,49%,47%,63,29,92,26,16,42,41%,55%,44,34,78,15,10,25,34%,29%,51,48,99,14,20,34,27%,42%,59,47,106,26,15,41,44%,32%,55,33,88,29,14,43,53%,42%
50,公立,和歌山県立医科大学,うち19歳,39,19,58,24,12,36,62%,63%,45,33,78,18,14,32,40%,42%,61,35,96,29,15,44,48%,43%,54,33,87,19,18,37,35%,55%,62,27,89,27,9,36,44%,33%,51,30,81,18,12,30,35%,40%
50,公立,和歌山県立医科大学,うち20歳,22,7,29,8,3,11,36%,43%,26,13,39,8,6,14,31%,46%,28,7,35,8,3,11,29%,43%,25,8,33,11,3,14,44%,38%,20,16,36,11,2,13,55%,13%,28,18,46,12,5,17,43%,28%
50,公立,和歌山県立医科大学,うち21歳,10,5,15,2,2,4,20%,40%,18,5,23,5,1,6,28%,20%,15,4,19,8,1,9,53%,25%,12,4,16,5,2,7,42%,50%,7,6,13,5,2,7,71%,33%,7,8,15,3,3,6,43%,38%
50,公立,和歌山県立医科大学,うち22歳以上,22,10,32,5,1,6,23%,10%,21,10,31,4,3,7,19%,30%,25,5,30,11,1,12,44%,20%,24,7,31,6,3,9,25%,43%,22,5,27,4,0,4,18%,0%,21,4,25,4,1,5,19%,25%
51,私立,岩手医科大学,合計,"2,223","1,156","3,379",152,64,216,7%,6%,"2,410","1,213","3,623",157,65,222,7%,5%,"2,319","1,200","3,519",166,76,242,7%,6%,"2,203","1,148","3,351",137,66,203,6%,6%,"1,961","1,042","3,003",139,68,207,7%,7%,"1,519",744,"2,263",136,50,186,9%,7%
51,私立,岩手医科大学,うち18歳以下,339,233,572,20,9,29,6%,4%,408,221,629,21,6,27,5%,3%,368,279,647,16,13,29,4%,5%,415,277,692,20,12,32,5%,4%,351,215,566,22,8,30,6%,4%,289,197,486,28,10,38,10%,5%
51,私立,岩手医科大学,うち19歳,615,363,978,50,21,71,8%,6%,611,441,"1,052",54,35,89,9%,8%,657,436,"1,093",55,31,86,8%,7%,543,354,897,41,25,66,8%,7%,539,337,876,40,31,71,7%,9%,461,235,696,42,18,60,9%,8%
51,私立,岩手医科大学,うち20歳,415,261,676,25,13,38,6%,5%,490,261,751,31,11,42,6%,4%,420,207,627,32,17,49,8%,8%,433,237,670,21,14,35,5%,6%,409,219,628,35,14,49,9%,6%,290,137,427,29,9,38,10%,7%
51,私立,岩手医科大学,うち21歳,290,122,412,23,7,30,8%,6%,304,108,412,19,5,24,6%,5%,279,115,394,19,7,26,7%,6%,278,111,389,20,8,28,7%,7%,211,108,319,13,4,17,6%,4%,166,69,235,11,4,15,7%,6%
51,私立,岩手医科大学,うち22歳以上,564,177,741,34,14,48,6%,8%,597,182,779,32,8,40,5%,4%,595,163,758,44,8,52,7%,5%,534,169,703,35,7,42,7%,4%,451,163,614,29,11,40,6%,7%,313,106,419,26,9,35,8%,8%
52,私立,東北医科薬科大学,合計,"1,154",519,"1,673",173,54,227,15%,10%,"1,376",666,"2,042",192,64,256,14%,10%,"1,528",750,"2,278",231,66,297,15%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,私立,東北医科薬科大学,うち18歳以下,185,115,300,21,6,27,11%,5%,214,131,345,14,3,17,7%,2%,264,184,448,17,4,21,6%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,私立,東北医科薬科大学,うち19歳,345,175,520,55,24,79,16%,14%,425,268,693,67,33,100,16%,12%,505,267,772,85,37,122,17%,14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,私立,東北医科薬科大学,うち20歳,226,111,337,46,10,56,20%,9%,274,121,395,47,14,61,17%,12%,276,125,401,53,9,62,19%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,私立,東北医科薬科大学,うち21歳,125,47,172,16,6,22,13%,13%,135,44,179,19,6,25,14%,14%,138,67,205,29,6,35,21%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,私立,東北医科薬科大学,うち22歳以上,273,71,344,35,8,43,13%,11%,328,102,430,45,8,53,14%,8%,345,107,452,47,10,57,14%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,私立,自治医科大学,合計,"1,383",757,"2,140",74,49,123,5%,6%,"1,285",750,"2,035",87,36,123,7%,5%,"1,434",824,"2,258",81,42,123,6%,5%,"1,499",795,"2,294",81,42,123,5%,5%,"1,502",799,"2,301",92,31,123,6%,4%,"1,891",987,"2,878",81,42,123,4%,4%
53,私立,自治医科大学,うち18歳以下,502,310,812,35,25,60,7%,8%,454,300,754,35,15,50,8%,5%,496,369,865,31,17,48,6%,5%,536,343,879,27,14,41,5%,4%,498,321,819,38,12,50,8%,4%,684,428,"1,112",39,21,60,6%,5%
53,私立,自治医科大学,うち19歳,473,278,751,31,20,51,7%,7%,446,283,729,32,14,46,7%,5%,521,286,807,34,15,49,7%,5%,519,257,776,31,15,46,6%,6%,556,297,853,32,13,45,6%,4%,654,320,974,26,17,43,4%,5%
53,私立,自治医科大学,うち20歳,230,110,340,7,1,8,3%,1%,212,96,308,18,5,23,8%,5%,204,110,314,11,9,20,5%,8%,234,121,355,17,9,26,7%,7%,235,116,351,12,6,18,5%,5%,287,135,422,12,4,16,4%,3%
53,私立,自治医科大学,うち21歳,70,31,101,1,3,4,1%,10%,62,43,105,1,2,3,2%,5%,106,33,139,4,0,4,4%,0%,86,39,125,3,1,4,3%,3%,87,32,119,3,0,3,3%,0%,102,48,150,2,0,2,2%,0%
53,私立,自治医科大学,うち22歳以上,108,28,136,0,0,0,0%,0%,111,28,139,1,0,1,1%,0%,107,26,133,1,1,2,1%,4%,124,35,159,3,3,6,2%,9%,126,33,159,7,0,7,6%,0%,164,56,220,2,0,2,1%,0%
54,私立,獨協医科大学,合計,"2,039","1,162","3,201",168,93,261,8%,8%,"1,920","1,047","2,967",119,94,213,6%,9%,"1,945","1,178","3,123",150,83,233,8%,7%,"2,269","1,354","3,623",129,92,221,6%,7%,"2,327","1,361","3,688",151,81,232,6%,6%,"2,086","1,169","3,255",148,77,225,7%,7%
54,私立,獨協医科大学,うち18歳以下,407,312,719,34,24,58,8%,8%,444,255,699,27,23,50,6%,9%,359,344,703,33,21,54,9%,6%,509,382,891,25,21,46,5%,5%,455,314,769,31,21,52,7%,7%,506,400,906,34,27,61,7%,7%
54,私立,獨協医科大学,うち19歳,549,351,900,55,33,88,10%,9%,472,350,822,38,46,84,8%,13%,510,351,861,51,26,77,10%,7%,524,402,926,35,35,70,7%,9%,596,437,"1,033",48,25,73,8%,6%,581,289,870,56,25,81,10%,9%
54,私立,獨協医科大学,うち20歳,377,237,614,46,20,66,12%,8%,379,191,570,38,17,55,10%,9%,367,208,575,31,18,49,8%,9%,437,263,700,28,14,42,6%,5%,486,276,762,32,20,52,7%,7%,378,231,609,26,15,41,7%,6%
54,私立,獨協医科大学,うち21歳,223,107,330,20,9,29,9%,8%,207,102,309,10,8,18,5%,8%,238,119,357,13,7,20,5%,6%,277,144,421,24,11,35,9%,8%,277,107,384,23,6,29,8%,6%,215,103,318,16,6,22,7%,6%
54,私立,獨協医科大学,うち22歳以上,483,155,638,13,7,20,3%,5%,418,149,567,6,0,6,1%,0%,471,156,627,22,11,33,5%,7%,522,163,685,17,11,28,3%,7%,513,227,740,17,9,26,3%,4%,406,146,552,16,4,20,4%,3%
